Country/Territory,UN region,Forecast,Year[IMF],Estimate[World Bank],Year[World Bank],Estimate[United Nations],Year[United Nations]
Brunei,Asia,34384,2023,37153,2022,31449,2021
Bahamas,Americas,34371,2023,31458,2022,27478,2021
Japan,Asia,33950,2023,33815,2022,39650,2021
South Korea,Asia,33147,2023,32255,2022,34940,2021
Spain,Europe,33090,2023,29350,2022,30058,2021
Saudi Arabia,Asia,32586,2023,30436,2022,23186,2021
Slovenia,Europe,32350,2023,29457,2022,29135,2021
Taiwan,Asia,32339,[n 3]2023,—,—,—,—
Kuwait,Asia,32215,2023,43234,2022,32150,2021
Estonia,Europe,30998,2023,28333,2022,27991,2021
Czech Republic,Europe,30475,2023,27638,2022,26809,2021
Lithuania,Europe,28482,2023,24827,2022,23844,2021
Bahrain,Asia,28464,2023,30152,2022,26563,2021
Portugal,Europe,26879,2023,24275,2022,24651,2021
Latvia,Europe,24929,2023,21851,2022,21267,2021
Slovakia,Europe,24471,2023,21258,2022,21390,2021
Greece,Europe,23173,2023,20732,2022,20571,2021
Poland,Europe,22393,2023,18321,2022,17736,2021
Saint Martin (French part),Americas,—,—,21921,2014,—,—
Barbados,Americas,21442,2023,20019,2022,17225,2021
Uruguay,Americas,21378,2023,20795,2022,17313,2021
Oman,Asia,21266,2023,25057,2022,19509,2021
Hungary,Europe,21075,2023,18463,2022,18728,2021
Seychelles,Africa,20890,2023,15875,2022,12085,2021
Croatia,Europe,20877,2023,18413,2022,16983,2021
Guyana,Americas,20565,2023,18990,2022,9999,2021
Turks and Caicos Islands,Americas,—,—,20177,2022,20909,2021
French Polynesia,Oceania,—,—,19999,2021,19915,2021
Trinidad and Tobago,Americas,19622,2023,18222,2022,16033,2021
Cook Islands,Oceania,—,—,—,—,19264,2021
Anguilla,Americas,—,—,—,—,19216,2021
Antigua and Barbuda,Americas,19068,2023,18745,2022,15246,2021
Panama,Americas,18493,2023,17358,2022,14618,2021
Romania,Europe,18413,2023,15892,2022,14698,2021
Saint Kitts and Nevis,Americas,18158,2023,20177,2022,18083,2021
Curaçao,Americas,—,—,17718,2021,14183,2021
Maldives,Asia,17559,2023,11818,2022,10366,2021
Northern Mariana Islands,Oceania,—,—,17303,2020,—,—
Chile,Americas,17254,2023,15356,2022,16265,2021
Costa Rica,Americas,16213,2023,13199,2022,12472,2021
Montserrat,Americas,—,—,—,—,16199,2021
Bulgaria,Europe,16087,2023,13773,2022,12207,2021
American Samoa,Oceania,—,—,15743,2021,—,—
Palau,Oceania,15113,2023,12084,2021,12084,2021
Mexico,Americas,13804,2023,11091,2022,10046,2021
Saint Lucia,Americas,13572,2023,11482,2022,9824,2021
Turkey,Asia,13384,2023,10616,2022,9661,2021
World,World,13330,2023,12648,2022,12230,2021
Argentina,Americas,13297,2023,13686,2022,10761,2021
Malaysia,Asia,13034,2023,11972,2022,11101,2021
Russia,Europe,13006,2023,15345,2022,12259,2021
Kazakhstan,Asia,12968,2023,11243,2022,10055,2021
Turkmenistan,Asia,12934,2023,7297,2020,8508,2021
China,Asia,12541,[n 4]2023,12720,[n 5]2022,12437,[n 4]2021
Nauru,Oceania,11757,2023,10648,2021,12390,2021
Mauritius,Africa,11752,2023,10216,2022,8873,2021
Grenada,Americas,11437,2023,10016,2022,8950,2021
Montenegro,Europe,11338,2023,9894,2022,9252,2021
Serbia,Europe,11301,2023,9394,2022,8643,2021
Cuba,Americas,—,—,9500,2020,11255,2021
Dominican Republic,Americas,11249,2023,10121,2022,8477,2021
Brazil,Americas,10413,2023,8918,2022,7507,2021
Saint Vincent and the Grenadines,Americas,9360,2023,9125,2022,8440,2021
Dominica,Americas,9356,2023,8415,2022,7571,2021
Gabon,Africa,8832,2023,8820,2022,7911,2021
Armenia,Asia,8283,2023,7014,2022,4967,2021
Georgia,Asia,8165,[n 6]2023,6628,[n 6]2022,4975,[n 6]2021
Albania,Europe,8057,2023,6803,2022,6396,2021
Bosnia and Herzegovina,Europe,7778,2023,7585,2022,7143,2021
Botswana,Africa,7758,2023,7738,2022,6805,2021
North Macedonia,Europe,7672,2023,6592,2022,6600,2021
Peru,Americas,7669,2023,7126,2022,6622,2021
Azerbaijan,Asia,7530,2023,7737,2022,5296,2021
Belarus,Europe,7477,2023,7905,2022,7121,2021
Thailand,Asia,7298,2023,6909,2022,7067,2021
Belize,Americas,7142,2023,6968,2022,6229,2021
Colombia,Americas,6976,2023,6630,2022,6104,2021
Jamaica,Americas,6831,2023,6047,2022,5184,2021
Equatorial Guinea,Africa,6502,2023,7054,2022,7605,2021
Ecuador,Americas,6500,2023,6391,2022,5965,2021
Moldova,Europe,6411,[n 7]2023,5563,[n 7]2022,4468,[n 7]2021
South Africa,Africa,6191,2023,6777,2022,7055,2021
Marshall Islands,Oceania,6141,2023,6728,2022,6111,2021
Fiji,Oceania,6025,2023,5317,2022,4647,2021
Kosovo,Europe,5912,2023,5351,2022,5663,2021
Iraq,Asia,5883,2023,5937,2022,4686,2021
Libya,Africa,5872,2023,6716,2022,5791,2021
Paraguay,Americas,5843,2023,6153,2022,6035,2021
Tuvalu,Oceania,5773,2023,5335,2022,5370,2021
Suriname,Americas,5667,2023,5858,2022,5259,2021
El Salvador,Americas,5558,2023,5127,2022,4551,2021
Tonga,Oceania,5488,2023,4426,2021,4451,2021
Guatemala,Americas,5407,2023,5473,2022,4883,2021
Mongolia,Asia,5348,2023,4947,2022,4510,2021
Ukraine,Europe,5225,[n 8]2023,4534,[n 8]2022,4596,[n 8]2021
Indonesia,Asia,5109,2023,4788,2022,4333,2021
Algeria,Africa,4875,2023,4274,2022,3700,2021
Jordan,Asia,4851,2023,4205,2022,4058,2021
Namibia,Africa,4786,2023,4911,2022,4836,2021
Samoa,Oceania,4638,2023,3743,2022,3919,2021
Cape Verde,Africa,4503,2023,3903,2022,3293,2021
Micronesia,Oceania,4358,2023,3741,2022,3573,2021
Vietnam,Asia,4316,2023,4164,2022,3756,2021
Iran,Asia,4234,2023,4388,2022,6766,2021
Tunisia,Africa,4191,2023,3777,2022,3807,2021
Eswatini,Africa,3995,2023,4040,2022,3969,2021
Morocco,Africa,3980,2023,3528,2022,3853,2021
Philippines,Asia,3859,2023,3499,2022,3461,2021
Bolivia,Americas,3858,2023,3523,2022,3345,2021
Palestine,Asia,3464,[n 9]2021,3789,[n 9]2022,3514,[n 10]2021
Egypt,Africa,3770,2023,4295,2022,3898,2021
Djibouti,Africa,3761,2023,3136,2022,3348,2021
Bhutan,Asia,3500,2023,3266,2022,3063,2021
Vanuatu,Oceania,3492,2023,3010,2022,3073,2021
Venezuela,Americas,3474,2023,15976,2014,3965,2021
Sri Lanka,Asia,3342,2022,3354,2022,3918,2021
Lebanon,Asia,3283,2022,4136,2021,6785,2021
Honduras,Americas,3245,2023,3040,2022,2772,2021
São Tomé and Príncipe,Africa,2905,2023,2404,2022,2486,2021
Congo,Africa,2858,2023,2448,2022,2200,2021
Ivory Coast,Africa,2728,2023,2486,2022,2539,2021
Bangladesh,Asia,2621,2023,2688,2022,2450,2021
India,Asia,2612,2023,2389,2022,2274,2021
Nicaragua,Americas,2599,2023,2255,2022,2046,2021
Papua New Guinea,Oceania,2581,2023,3020,2022,2673,2021
Angola,Africa,2550,2023,2999,2022,2258,2021
Uzbekistan,Asia,2509,2023,2255,2022,2032,2021
Mauritania,Africa,2338,2023,2191,2022,2166,2021
Ghana,Africa,2329,2023,2176,2022,2409,2021
Solomon Islands,Oceania,2285,2023,2203,2022,2306,2021
Kenya,Africa,2188,2023,2099,2022,2082,2021
Haiti,Americas,2125,2023,1748,2022,1664,2021
Zimbabwe,Africa,2006,2023,1267,2022,1508,2021
Kiribati,Oceania,1968,2023,1702,2022,1765,2021
Cambodia,Asia,1916,2023,1787,2022,1608,2021
Laos,Asia,1879,2023,2088,2022,2569,2021
Kyrgyzstan,Asia,1830,2023,1607,2022,1339,2021
Nigeria,Africa,1755,2023,2184,2022,2019,2021
Cameroon,Africa,1722,2023,1589,2022,1668,2021
Senegal,Africa,1715,2023,1599,2022,1637,2021
Guinea,Africa,1543,2023,1532,2022,1185,2021
Timor-Leste,Asia,1497,2023,2358,2022,1517,2021
Zambia,Africa,1486,2023,1488,2022,1095,2021
Ethiopia,Africa,1473,2023,1028,2022,825,2021
Pakistan,Asia,1471,2023,1597,2022,1480,2021
Benin,Africa,1449,2023,1303,2022,1361,2021
Myanmar,Asia,1381,2023,1096,2022,1089,2021
Comoros,Africa,1377,2023,1485,2022,1631,2021
Nepal,Asia,1353,2023,1337,2022,1159,2021
Tanzania,Africa,1327,2023,1192,2022,1136,[n 11]2021
Zanzibar,Africa,—,—,1192,2022,1211,2021
Tajikistan,Asia,1180,2023,1054,2022,897,2021
Uganda,Africa,1163,2023,964,2022,930,2021
Lesotho,Africa,1110,2023,1107,2022,1040,2021
Rwanda,Africa,1032,2023,966,2022,822,2021
Guinea-Bissau,Africa,1028,2023,776,2022,759,2021
Togo,Africa,1004,2023,918,2022,944,2021
Syria,Asia,—,—,537,2020,925,2021
Mali,Africa,913,2023,645,2022,875,2021
Gambia,Africa,903,2023,840,2022,772,2021
Burkina Faso,Africa,888,2023,833,2022,893,2021
Liberia,Africa,800,2023,755,2022,471,2021
Somalia,Africa,717,2023,462,2022,447,2021
Chad,Africa,703,2023,717,2022,955,2021
DR Congo,Africa,675,2023,587,2022,551,2021
North Korea,Asia,—,—,—,—,654,2021
Mozambique,Africa,647,2023,542,2022,492,2021
Niger,Africa,631,2023,533,2022,591,2021
Eritrea,Africa,—,—,644,2011,623,2021
Yemen,Asia,618,2023,702,2018,302,2021
Malawi,Africa,580,2023,645,2022,613,2021
Central African Republic,Africa,539,2023,427,2022,461,2021
Sudan,Africa,534,2023,1102,2022,786,2021
Madagascar,Africa,530,2023,505,2022,500,2021
South Sudan,Africa,417,2023,1072,2015,400,2021
Sierra Leone,Africa,415,2023,461,2022,505,2021
Afghanistan,Asia,443,2021,364,2022,373,2021
Burundi,Africa,246,2023,238,2022,311,2021
