,#,Nation or Territory,2022[5],2022[5],2021[23],2021[23],2020[24],2020[24]
146,142,Madagascar,26,5,26,2,25,9
147,147,Guinea,25,3,25,13,28,7
148,147,Bangladesh,25,,26,1,26,
149,147,Iran,25,3,25,1,25,3
150,150,Nigeria,24,4,24,5,25,3
151,150,Central African Republic,24,4,24,8,26,7
152,150,Afghanistan,24,24,16,9,19,8
153,150,Cambodia,24,7,23,3,21,2
154,150,Lebanon,24,4,24,5,25,12
155,150,Guatemala,24,,25,1,25,3
156,150,Tajikistan,24,,25,1,25,4
157,157,Zimbabwe,23,,23,,24,1
158,157,Azerbaijan,23,29,30,1,30,3
159,157,Myanmar,23,17,28,3,28,7
160,157,Honduras,23,,23,,24,11
161,157,Iraq,23,,23,3,21,2
162,162,Eritrea,22,1,22,1,21,
163,162,Sudan,22,2,20,10,16,1
164,164,Congo,21,2,21,3,19,
165,164,Guinea-Bissau,21,2,21,3,19,3
166,166,Democratic Republic of the Congo,20,3,19,1,18,2
167,167,Turkmenistan,19,2,19,4,19,
168,167,Nicaragua,19,3,20,5,22,2
169,167,Comoros,19,3,20,4,21,7
170,167,Chad,19,3,20,4,21,2
171,171,Libya,17,1,17,1,17,5
172,171,Haiti,17,7,20,6,18,2
173,171,North Korea,17,3,16,4,18,2
174,171,Equatorial Guinea,17,1,17,2,16,1
175,171,Burundi,17,2,19,4,19,
176,176,Yemen,16,2,16,2,15,1
177,177,Venezuela,14,,14,1,15,3
178,178,Syria,13,,13,,14,
179,178,South Sudan,13,2,11,1,12,
180,180,Somalia,12,2,13,1,12,1
